cust_id,lookalike_1,score_1,lookalike_2,score_2,lookalike_3,score_3
C0001,C0044,0.9859004160275822,C0049,0.9695334490612896,C0047,0.8909068818704946
C0002,C0093,0.9388736921973054,C0037,0.9367263641827154,C0056,0.9220078391952552
C0003,C0076,0.9715687758735416,C0043,0.9282850204207148,C0035,0.8836691311705293
C0004,C0091,0.9840610203353327,C0086,0.9444617041381127,C0010,0.9224477114487217
C0005,C0084,0.928949778250336,C0061,0.9207000515710538,C0022,0.9026553955842083
C0006,C0020,0.8269424688942324,C0025,0.8007550446325598,C0004,0.7751548582541318
C0007,C0059,0.977377191832897,C0086,0.9698932682007328,C0048,0.9588176807551292
C0008,C0070,0.9904809251479691,C0080,0.9680075180944958,C0083,0.9175056980284461
C0009,C0096,0.896151527679212,C0014,0.881834649104749,C0071,0.8225725252221029
C0010,C0079,0.9698230560826123,C0091,0.9425853022265283,C0004,0.9224477114487217
C0011,C0025,0.8932877885736935,C0089,0.8671427729708272,C0079,0.8073342531931438
C0012,C0095,0.9857839590870123,C0098,0.9595375481446815,C0028,0.9541640627677677
C0013,C0029,0.9477984618234166,C0048,0.9012397275722358,C0055,0.8979316177204872
C0014,C0096,0.9936106695899997,C0020,0.9458997853691483,C0009,0.881834649104749
C0015,C0066,0.953404250813564,C0026,0.9243066854456882,C0032,0.8816850162230089
C0016,C0062,0.972384966719939,C0097,0.9355520021065383,C0013,0.8723245392936146
C0017,C0019,0.9783522194449387,C0081,0.9240749356924453,C0040,0.9015665999606962
C0018,C0087,0.9702740505331083,C0054,0.9683869349397208,C0072,0.9536991224726208
C0019,C0017,0.9783522194449387,C0081,0.9689073314623993,C0094,0.9471568988681431
C0020,C0014,0.9458997853691483,C0096,0.9323647070873419,C0006,0.8269424688942324
